"prep.bl.use.prop.0","prep.mean.days.usage.0","art.init.lag.mean","non.testers.prop.0","tests.per.year.0","transmission.probability.insertive.infected","transmission.probability.receptive.infected","seroconcordant.main.condom.prob","serodiscordant.main.condom.prob","seroconcordant.casual.condom.prob","serodiscordant.casual.condom.prob","prop.steady.sex.acts","prop.casual.sex.acts","incarceration.prob","incarceration.with.cji.prob","jail.serving.time.mean","network.retention.multiplier","post.release.interference.period.mean","substance.use.condom.prob.multiplier","external.infections.per.person.day.min","external.infections.per.person.day.max"
0.22,156,59.6,0.05,1.9,0.0009302428,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.077,8.4593236e-05,0.0007148842,144.4,0.2,97,0.68,3.83561644e-06,2.4197260272e-05
0.22,156,59.6,0.05,1.9,0.0009302428,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.077,8.4593236e-05,0.0007148842,108.8,0.2,97,0.68,3.83561644e-06,2.4197260272e-05
0.22,156,7,0.05,1.9,0.0009302428,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.077,8.4593236e-05,0.0007148842,108.8,0.2,97,0.68,3.83561644e-06,2.4197260272e-05
0.22,156,7,0.05,1.9,0.0009302428,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.077,8.4593236e-05,0.0007148842,108.8,0.2,97,0.68,4.438356166e-06,2.4197260272e-05
0.22,156,7,0.05,1.9,0.0008174216,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.077,8.4593236e-05,0.0007148842,108.8,0.2,97,0.68,4.438356166e-06,2.4197260272e-05
0.22,156,7,0.05,1.9,0.0008174216,0.0002341575,0.05,0.75,0.672,0.641,0.205,0.077,8.4593236e-05,0.0007148842,108.8,0.2,97,0.68,4.438356166e-06,2.4197260272e-05
0.28,156,7,0.05,1.9,0.0008174216,0.0002341575,0.05,0.75,0.672,0.641,0.205,0.077,8.4593236e-05,0.0007148842,108.8,0.2,97,0.68,4.438356166e-06,2.4197260272e-05
0.28,156,7,0.05,1.9,0.0008174216,0.0002341575,0.05,0.75,0.672,0.641,0.205,0.077,8.4593236e-05,0.0007148842,108.8,0.36,97,0.68,4.438356166e-06,2.4197260272e-05
0.28,156,7,0.05,1.9,0.0008174216,0.0002341575,0.05,0.75,0.554,0.641,0.205,0.077,8.4593236e-05,0.0007148842,108.8,0.36,97,0.68,4.438356166e-06,2.4197260272e-05
0.28,156,7,0.05,1.9,0.0008174216,0.0002341575,0.05,0.75,0.554,0.641,0.205,0.077,6.1528648e-05,0.0007148842,108.8,0.36,97,0.68,4.438356166e-06,2.4197260272e-05
0.28,156,7,0.05,1.9,0.0008174216,0.0002341575,0.05,0.75,0.554,0.641,0.171,0.077,6.1528648e-05,0.0007148842,108.8,0.36,97,0.68,4.438356166e-06,2.4197260272e-05
0.28,252,138.5,0.13,3.3,0.0005917792,0.0001255938,0.212,0.475,0.672,0.704,0.205,0.084,7.3060942e-05,0.0006677306,91,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.28,252,138.5,0.13,3.3,0.0005917792,0.0001255938,0.212,0.585,0.672,0.704,0.205,0.084,7.3060942e-05,0.0006677306,91,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.28,252,138.5,0.13,3.3,0.0005917792,0.0001255938,0.212,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,91,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.28,252,138.5,0.13,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,91,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.28,252,85.9,0.13,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,91,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.22,252,85.9,0.13,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,91,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.22,252,85.9,0.13,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,55.4,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,55.4,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0007620378,55.4,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.098,7.3060942e-05,0.0007620378,55.4,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.36,298,0.36,5.041095892e-06,2.1304109586e-05
0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.52,298,0.36,5.041095892e-06,2.1304109586e-05
0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.52,298,0.2,5.041095892e-06,2.1304109586e-05
0.22,252,85.9,0.15,2.6,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.52,298,0.2,5.041095892e-06,2.1304109586e-05
