"design","prep.bl.use.prop.0","prep.mean.days.usage.0","art.init.lag.mean","non.testers.prop.0","tests.per.year.0","transmission.probability.insertive.infected","transmission.probability.receptive.infected","seroconcordant.main.condom.prob","serodiscordant.main.condom.prob","seroconcordant.casual.condom.prob","serodiscordant.casual.condom.prob","prop.steady.sex.acts","prop.casual.sex.acts","incarceration.prob","incarceration.with.cji.prob","jail.serving.time.mean","network.retention.multiplier","post.release.interference.period.mean","substance.use.condom.prob.multiplier","external.infections.per.person.day.min","external.infections.per.person.day.max","avg_incidence_10yr","avg_prevalence_10yr","avg_incidence_5yr","avg_prevalence_5yr"
147,0.19,348,191.1,0.08,0.5,0.0007046004,0.000415097,0.266,0.585,0.79,0.515,0.205,0.091,0.000107657824,0.0005262698,37.6,0.6,264.5,0.2,5.041095892e-06,2.1304109586e-05,2.06047494553888,16.5047989041096,2.04126960009617,16.2738748858447
148,0.19,348,191.1,0.08,0.5,0.0007046004,0.000415097,0.266,0.585,0.79,0.389,0.205,0.091,0.000107657824,0.0005262698,37.6,0.6,264.5,0.2,5.041095892e-06,2.1304109586e-05,2.09210921629399,16.7039263926941,2.06916503436936,16.5196536986301
149,0.19,348,191.1,0.06,0.5,0.0007046004,0.000415097,0.266,0.585,0.79,0.389,0.205,0.091,0.000107657824,0.0005262698,37.6,0.6,264.5,0.2,5.041095892e-06,2.1304109586e-05,2.04848823637858,16.5819228310502,2.00907641058602,16.3562863926941
150,0.19,348,191.1,0.06,0.5,0.0007046004,0.000415097,0.266,0.585,0.79,0.389,0.239,0.091,0.000107657824,0.0005262698,37.6,0.6,264.5,0.2,5.041095892e-06,2.1304109586e-05,2.30951165546672,18.0040633789954,2.29093742403324,17.8659594520548
151,0.19,348,191.1,0.06,0.5,0.0007046004,0.000415097,0.266,0.585,0.79,0.389,0.239,0.091,0.000107657824,0.0005262698,37.6,0.6,264.5,0.36,5.041095892e-06,2.1304109586e-05,2.26287724700033,17.8678684931507,2.2484997770035,17.7448078538813
152,0.19,348,191.1,0.06,0.5,0.0007046004,0.0003427212,0.266,0.585,0.79,0.389,0.239,0.091,0.000107657824,0.0005262698,37.6,0.6,264.5,0.36,5.041095892e-06,2.1304109586e-05,2.16818233685162,17.1582297716895,2.15293525031037,17.0058661187215
153,0.19,348,191.1,0.06,0.5,0.0007046004,0.0003427212,0.266,0.585,0.79,0.389,0.239,0.091,0.000107657824,0.0005262698,37.6,0.6,264.5,0.36,5.041095892e-06,1.84109589e-05,2.0180999385706,16.2223774429224,1.99240684508838,16.0065346118721
154,0.19,348,243.7,0.06,0.5,0.0007046004,0.0003427212,0.266,0.585,0.79,0.389,0.239,0.091,0.000107657824,0.0005262698,37.6,0.6,264.5,0.36,5.041095892e-06,1.84109589e-05,2.01737764708284,16.21016456621,1.9940948767774,15.9558069406393
155,0.31,108,85.9,0.11,2.6,0.0008738322,0.0001979696,0.212,0.31,0.495,0.452,0.137,0.119,8.4593236e-05,0.0005262698,91,0.52,164,0.68,5.643835618e-06,3.1430136987e-05,1.91230868003509,16.1297306849315,1.90005971323009,15.8771671232877
156,0.31,108,85.9,0.11,2.6,0.0008738322,0.0001979696,0.212,0.31,0.495,0.452,0.137,0.119,8.4593236e-05,0.000620577,91,0.52,164,0.68,5.643835618e-06,3.1430136987e-05,1.89109487355367,16.0376188127854,1.87045966255435,15.7562785388128
157,0.31,204,85.9,0.11,2.6,0.0008738322,0.0001979696,0.212,0.31,0.495,0.452,0.137,0.119,8.4593236e-05,0.000620577,91,0.52,164,0.68,5.643835618e-06,3.1430136987e-05,1.9140205235002,16.11057543379,1.91047751198479,15.9309782648402
158,0.31,204,85.9,0.11,2.6,0.0008738322,0.0001979696,0.212,0.31,0.495,0.452,0.137,0.105,8.4593236e-05,0.000620577,91,0.52,164,0.68,5.643835618e-06,3.1430136987e-05,1.76631399529871,15.0905275799087,1.74979619390381,14.8428303196347
159,0.31,204,85.9,0.11,2.6,0.0008738322,0.0001979696,0.212,0.31,0.495,0.452,0.137,0.105,8.4593236e-05,0.000620577,55.4,0.52,164,0.68,5.643835618e-06,3.1430136987e-05,1.79781392120438,15.2903429223744,1.78678885476042,15.0280431050228
160,0.31,204,85.9,0.11,2.6,0.0008738322,0.0001255938,0.212,0.31,0.495,0.452,0.137,0.105,8.4593236e-05,0.000620577,55.4,0.52,164,0.68,5.643835618e-06,3.1430136987e-05,1.73818846069057,14.9177597260274,1.71387141328744,14.6561806392694
161,0.31,204,85.9,0.11,2.6,0.0008738322,0.0001255938,0.212,0.31,0.495,0.452,0.137,0.105,8.4593236e-05,0.000620577,55.4,0.52,231,0.68,5.643835618e-06,3.1430136987e-05,1.77649443108977,15.3142578082192,1.74806642998347,14.9674807305936
162,0.31,204,85.9,0.11,2.6,0.0008738322,0.0001255938,0.212,0.31,0.495,0.326,0.137,0.105,8.4593236e-05,0.000620577,55.4,0.52,231,0.68,5.643835618e-06,3.1430136987e-05,1.81089729285664,15.3242914155251,1.78257307808319,15.1134926027397
163,0.25,204,85.9,0.11,2.6,0.0008738322,0.0001255938,0.212,0.31,0.495,0.326,0.137,0.105,8.4593236e-05,0.000620577,55.4,0.52,231,0.68,5.643835618e-06,3.1430136987e-05,1.92385299663705,15.941324109589,1.92427411500105,15.757905022831
