"draw","r","P0","gamma_PrEP","beta_PrEP","prep_cov_per_funding","irr_mean","irr_ci_lower","irr_ci_upper"
164,0.265892714029178,0.237868660055101,0.0632475436045347,1.81926035610862,0.734107285970822,1.4723711463402,1.38368933758002,1.5683767181241
165,0.192617344378959,0.349112052563578,0.067245036455484,1.12706083487298,0.807382655621041,1.48239821013429,1.38999032089798,1.58463367147815
166,0.219919492141344,0.215409459024668,0.0473727388311465,1.89054674556895,0.780080507858656,1.47867088094678,1.38783658722295,1.57867462482739
167,0.129423386126291,0.142881764285266,0.0184922417494977,2.55392309594719,0.870576613873709,1.49100010218777,1.39541317882415,1.5970350611841
168,0.250645136169624,0.27554722700268,0.069064572233249,1.53853734035278,0.749354863830377,1.47446434923239,1.38494200222171,1.57244263371168
169,0.219791226263624,0.332048394754529,0.0729813238619657,1.22625107623071,0.780208773736376,1.4786884129385,1.38784483334402,1.57870762102983
170,0.343434462498408,0.215594006851315,0.0740424118608596,2.24427901726831,0.656565537501592,1.46164783020211,1.37685823241514,1.54890906249874
171,0.16603788244538,0.320277495123446,0.0531781970852075,1.18937517556659,0.83396211755462,1.48601968768374,1.39273379547363,1.59007716741732
172,0.369307049142662,0.14834158083424,0.0547835914830508,3.39555474311725,0.630692950857338,1.4580341957281,1.37426165945791,1.54208121912196
173,0.22789344296325,0.165255849659443,0.0376607245487077,2.48976028059253,0.77210655703675,1.47758053003744,1.38724479457404,1.57698992689191
174,0.230958432366606,0.289600617941469,0.066885704732162,1.42640324314244,0.769041567633394,1.47716119149592,1.38701289882621,1.5762498421107
175,0.192362817062531,0.232555397730321,0.0447350114305017,1.69140997288136,0.807637182937469,1.48243292009148,1.39000698610759,1.58468771174874
176,0.312161939742509,0.332936333622783,0.103930051714447,1.38721641978843,0.687838060257491,1.46599028720342,1.37976551561164,1.55742856242899
177,0.185607599385548,0.14046282319352,0.026070967415866,2.77713192375711,0.814392400614452,1.48335390078629,1.39064704942962,1.58620027697531
178,0.260867583623622,0.139134100601077,0.0362955766234489,3.08912713067578,0.739132416376378,1.47306146550892,1.38402049058538,1.56971742380917
179,0.337877508136444,0.284876440074295,0.0962533416990837,1.68421194028956,0.662122491863556,1.46242143866461,1.37724197532283,1.550422805256
180,0.317412368371151,0.150039483569562,0.0476243878289993,3.10189891637351,0.682587631628849,1.46526305440227,1.37916381107336,1.55600005476643
181,0.302381716785021,0.274893372617662,0.0831227299449531,1.6565688578315,0.697618283214979,1.46734309838345,1.38076190948429,1.55994498475757
182,0.216926568187773,0.181660299170762,0.0394069452750776,2.23320762427085,0.783073431812227,1.47907991245986,1.38802915924637,1.57939798520072
183,0.220781545212958,0.235755948554724,0.0520505626150587,1.72929755365081,0.779218454787042,1.47855304582074,1.38775770563553,1.57845025269913
184,0.281371366058011,0.271832654345781,0.0764859252924473,1.62624312184521,0.718628633941989,1.47024170815443,1.38248448914724,1.56503122110314
185,0.350504373025615,0.171049870233983,0.0599537275224749,2.85951669197814,0.649495626974385,1.46066230636161,1.37605813776492,1.54704258814229
186,0.163524662144482,0.239442726876587,0.0391547910154473,1.5861228642258,0.836475337855518,1.48636181890122,1.39292308574385,1.59061484397504
187,0.170870212547015,0.139270093347877,0.0237971104517945,2.75113075396894,0.829129787452985,1.48536171739883,1.39199033547473,1.58924545877897
188,0.34566445107339,0.247594560608268,0.085584637881414,1.96087541522718,0.65433554892661,1.46133713335446,1.37660466886916,1.54830273054561
189,0.334205275808927,0.203050964344293,0.0678607035419529,2.34988284372364,0.665794724191073,1.46293218343092,1.37748896815472,1.55142468905613
190,0.150366021320224,0.24275328302756,0.0365018453312763,1.54026210942464,0.849633978679776,1.48815242602769,1.39377291765049,1.59316409255719
191,0.16250628628768,0.148876783624291,0.0241934132212381,2.54790413084761,0.83749371371232,1.48650044004442,1.39298797152221,1.59085972133655
192,0.185868073720485,0.144471921566874,0.0268527177683318,2.70093032632721,0.814131926279515,1.48331839672935,1.39061938225039,1.5861661183766
193,0.329632795590442,0.346814739983529,0.114321512292743,1.36641087421461,0.670367204409558,1.46356760858027,1.37789521637198,1.55267149453926
194,0.174067096435465,0.278859910257161,0.0485403348907183,1.37930644406801,0.825932903564535,1.4849263296889,1.39158023598611,1.58842640253503
195,0.351194613554981,0.308346619158983,0.108289671756524,1.58795422314855,0.648805386445019,1.46056601101421,1.37598086980605,1.54690306661833
196,0.203552295512054,0.356109919119626,0.0724869914914119,1.12008319339533,0.796447704487946,1.48090637406645,1.38902251265669,1.58264659256338
197,0.167008961958345,0.169118398334831,0.028244288153958,2.25507209302022,0.832991038041655,1.48588747964865,1.39263086240655,1.58995255011152
198,0.313275039254222,0.168577429968864,0.0528111009908716,2.74415952637088,0.686724960745778,1.46583617143823,1.37962574606823,1.55712579437755
199,0.277129276073538,0.21592373047024,0.0598387871123153,2.03531018215802,0.722870723926462,1.47082578380583,1.3828548838112,1.56605926785774
200,0.315893031307496,0.346015946567059,0.109304026241801,1.34205862578204,0.684106968692504,1.46547356930095,1.37930017120495,1.55641352387535
